10416,10278,"aka","KARADH AL-HASSAN",-0- 
11195,11591,"aka","HESA TRADE CENTER",-0- 
11195,11593,"aka","IRAN AIRCRAFT MANUFACTURING INDUSTRIES",-0- 
11195,11595,"aka","IRAN AIRCRAFT MANUFACTURING COMPANY",-0- 
11195,11597,"aka","KARKHANEJATE SANAYE HAVAPAYMAIE IRAN",-0- 
11935,12685,"aka","HERNANDEZ LECHUGA, Raul Lucio",-0- 
12685,13802,"aka","GADDAFI INTERNATIONAL FOUNDATION FOR CHARITY ORGANISATIONS",-0- 
15102,22122,"aka","MORENO JR., Daniel Gonzalo",-0- 
19709,31067,"aka","AIRCRAFT AVIONICS PARTS AND SUPPORT LTD.",-0- 
18820,29702,"aka","RUSSIAN HELICOPTERS JOINT STOCK COMPANY",-0- 
30221,47371,"aka","KAVIAN PETROCHEMICAL PRIVATE JOINT STOCK COMPANY",-0- 
48603,75563,"aka","KHOROSHEV, Dmitriy Yurevich",-0- 
48603,75564,"aka","YURIEVICH, Dmitry",-0- 
48603,75565,"aka","KHOROSHEV, Dmitrii Yuryevich",-0- 
29445,48727,"aka","ELEMENTO OIL AND GAS LTD",-0- 
50544,79025,"aka","AUTONOMOUS NON-PROFIT ORGANIZATION FOR THE DEVELOPMENT OF DIGITAL PROJECTS IN THE FIELD OF PUBLIC RELATIONS AND COMMUNICATIONS DIALOG REGIONS",-0- 
50544,79026,"aka","ANO DIALOG REGIONS",-0- 
50544,79030,"aka","AVTONOMNAYA NEKOMMERCHESKAYA ORGANIZATSIYA PO RAZVITIYU TSIFROVYKH PROEKTOV V SFERE OBSHCHESTEVENNYKH SVYAZEI I KOMMUNIKATSII DIALOG REGIONY",-0- 
